PANID,WEEK,UNITs,OUTLET,DOLLARS,IRI_KEY,COLUPC,city,chain,*STUBSPEC 1440RC,VOL_EQ,PRODUCT TYPE,FLAVOR/SCENT,FORM,PACKAGE,BREWING METHOD,L5,brand,income,size,race
1100503,1379,1,GR,3,248128,24300070340,Pittsfield,3,        +MAXHS REG GRND CFE       11.5OZ 0 2 43000 70340 1  1 0.7188RP   00163,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,6,2,1
1100503,1382,2,GR,7,648764,12550006539,Other,,        +FOLGR CLSRS GRND CFE     11.5OZ 0 1 25500  6539 1  1 0.7188RP   02778,1,COFFEE,CLASSIC ROAST,GROUND,CAN,FOR ALL COFEE MAKERS,FOLGERS,2,6,2,1
1100503,1408,1,GR,4,234140,12550007084,Pittsfield,2,        +FSMSM REG GRND CFE       11.5OZ 0 1 25500  7084 1  1 0.7188RP   02864,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,FOLGERS SIMPLY SMOOTH,2,6,2,1
1100503,1410,1,GR,6,652159,22550006541,Pittsfield,2,        +FOLGR CLSRS GRND CFE     34.5OZ 0 2 25500  6541 1  1 2.1563RP   02779,2,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,6,2,1
1100503,1411,1,GR,2,248128,11114110316,Pittsfield,3,        +8OCLK BLCDB WBCFE HLFCF    12OZ 0 1 11141 10316 1  1 0.7500RP   12652,1,WHOLE BEAN COFFEE,BALANCED BLEND,MISSING,FOIL BAG,MISSING,EIGHT O CLOCK,3,6,2,1
1100545,,,,,,,,,,,,,,,,,,10,4,1
1100560,1426,1,GR,2,648764,12550080258,Other,,        +FOLGR CLSRS GRND CFE       13OZ 0 1 25500 80258 1  1 0.8125RP   02763,1,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,8,2,1
1100743,1387,5,GR,27,652159,14300070522,Pittsfield,2,        +MAXHS MSTBD GRND CFE     34.5OZ 0 1 43000 70522 1  1 2.1563RP   00137,2,COFFEE,MISSING,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,11,2,1
1100743,1387,2,GR,6,652159,24300070130,Pittsfield,2,        +MAXHS REG GRND CFE CAFEN   13OZ 0 2 43000 70130 1  1 0.8125RP   00148,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,11,2,1
1100743,1396,1,GR,2,652159,24300070130,Pittsfield,2,        +MAXHS REG GRND CFE CAFEN   13OZ 0 2 43000 70130 1  1 0.8125RP   00148,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,11,2,1
1100750,,,,,,,,,,,,,,,,,,6,2,1
1100784,1397,2,GR,7,259111,12550080258,Pittsfield,9,        +FOLGR CLSRS GRND CFE       13OZ 0 1 25500 80258 1  1 0.8125RP   02763,1,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,1,1,3
1100784,1403,1,GR,2,259111,24300070130,Pittsfield,9,        +MAXHS REG GRND CFE CAFEN   13OZ 0 2 43000 70130 1  1 0.8125RP   00148,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,1,1,3
1100784,1412,1,GR,5,248128,11114110039,Pittsfield,3,        +8OCLK ORGL GRND CFE CAFEN  13OZ 0 1 11141 10039 1  1 0.8125RP   03610,1,COFFEE,ORIGINAL,GROUND,FOIL BAG,ALL PURPOSE,EIGHT O CLOCK,3,1,1,3
1100842,,,,,,,,,,,,,,,,,,4,3,1
1101055,,,,,,,,,,,,,,,,,,10,2,1
1101147,1378,1,GR,4,259111,24300070590,Pittsfield,9,        +MSTBL SMTH GRND CFE      11.5OZ 0 2 43000 70590 1  1 0.7188RP   00190,1,COFFEE,MISSING,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE MASTER BLEND,1,5,4,1
1101147,1379,1,GR,5,652159,14300070630,Pittsfield,2,        +MAXHS REG GRND CFE CAFEN   39OZ 0 1 43000 70630 1  1 2.4375RP   00154,2,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,5,4,1
1101147,1391,3,GR,5,259111,12550080258,Pittsfield,9,        +FOLGR CLSRS GRND CFE       13OZ 0 1 25500 80258 1  1 0.8125RP   02763,1,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,5,4,1
1101147,1397,3,GR,10,259111,12550080258,Pittsfield,9,        +FOLGR CLSRS GRND CFE       13OZ 0 1 25500 80258 1  1 0.8125RP   02763,1,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,5,4,1
1101147,1418,1,GR,2,259111,12550080258,Pittsfield,9,        +FOLGR CLSRS GRND CFE       13OZ 0 1 25500 80258 1  1 0.8125RP   02763,1,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,5,4,1
1101162,1376,3,GR,24,652159,12550006541,Pittsfield,2,        +FGSLT CLSRS GRND CFE     34.5OZ 0 1 25500  6541 1  1 2.1563RP   02862,2,COFFEE,CLASSIC ROAST,GROUND,CANISTER,ALL PURPOSE,FOLGERS LITE,2,10,2,1
1101162,1376,1,GR,6,652159,12550006818,Pittsfield,2,        +FOLGR CLSRS GRND CFE       26OZ 0 1 25500  6818 1  1 1.6250RP   06752,2,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,10,2,1
1101162,1379,1,GR,9,234140,14300070342,Pittsfield,2,        +MXHLT REG GRND CFE       34.5OZ 0 1 43000 70342 1  1 2.1563RP   00180,2,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE LITE,1,10,2,1
1101162,1406,2,GR,15,652159,22550006541,Pittsfield,2,        +FOLGR CLSRS GRND CFE     34.5OZ 0 2 25500  6541 1  1 2.1563RP   02779,2,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,10,2,1
1101162,1417,4,GR,36,652159,14300070342,Pittsfield,2,        +MXHLT REG GRND CFE       34.5OZ 0 1 43000 70342 1  1 2.1563RP   00180,2,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE LITE,1,10,2,1
1101162,1420,1,GR,9,652159,14300070342,Pittsfield,2,        +MXHLT REG GRND CFE       34.5OZ 0 1 43000 70342 1  1 2.1563RP   00180,2,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE LITE,1,10,2,1
